18937 | train: 99.018% | test : 98.910% | LR: 0.00005776 | Dropout: 0.594 | time: 0.630s
18938 | train: 98.975% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.630s
18939 | train: 98.992% | test : 98.930% | LR: 0.00005628 | Dropout: 0.593 | time: 0.633s
18940 | train: 98.933% | test : 98.920% | LR: 0.00005702 | Dropout: 0.591 | time: 0.630s
18941 | train: 99.045% | test : 98.970% | LR: 0.00005336 | Dropout: 0.591 | time: 0.631s
18942 | train: 98.977% | test : 98.950% | LR: 0.00005481 | Dropout: 0.591 | time: 0.630s
18943 | train: 98.993% | test : 98.940% | LR: 0.00005554 | Dropout: 0.591 | time: 0.631s
18944 | train: 99.017% | test : 98.940% | LR: 0.00005554 | Dropout: 0.594 | time: 0.631s
18945 | train: 98.862% | test : 98.970% | LR: 0.00005336 | Dropout: 0.594 | time: 0.631s
18946 | train: 99.017% | test : 98.970% | LR: 0.00005336 | Dropout: 0.595 | time: 0.630s
18947 | train: 98.985% | test : 98.970% | LR: 0.00005336 | Dropout: 0.595 | time: 0.633s
18948 | train: 98.933% | test : 98.940% | LR: 0.00005554 | Dropout: 0.592 | time: 0.630s
18949 | train: 98.995% | test : 98.960% | LR: 0.00005408 | Dropout: 0.592 | time: 0.630s
18950 | train: 99.007% | test : 98.940% | LR: 0.00005554 | Dropout: 0.594 | time: 0.631s
18951 | train: 98.937% | test : 98.960% | LR: 0.00005408 | Dropout: 0.594 | time: 0.632s
18952 | train: 99.047% | test : 98.970% | LR: 0.00005336 | Dropout: 0.597 | time: 0.631s
18953 | train: 99.013% | test : 98.960% | LR: 0.00005408 | Dropout: 0.597 | time: 0.631s
18954 | train: 98.942% | test : 98.960% | LR: 0.00005408 | Dropout: 0.594 | time: 0.630s
18955 | train: 98.957% | test : 98.940% | LR: 0.00005554 | Dropout: 0.594 | time: 0.630s
18956 | train: 98.960% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.630s
18957 | train: 99.003% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.631s
18958 | train: 99.038% | test : 98.930% | LR: 0.00005628 | Dropout: 0.596 | time: 0.630s
18959 | train: 99.002% | test : 98.940% | LR: 0.00005554 | Dropout: 0.596 | time: 0.630s
18960 | train: 98.968% | test : 98.950% | LR: 0.00005481 | Dropout: 0.594 | time: 0.631s
18961 | train: 98.955% | test : 98.950% | LR: 0.00005481 | Dropout: 0.594 | time: 0.630s
18962 | train: 98.972% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.629s
18963 | train: 99.033% | test : 98.980% | LR: 0.00005263 | Dropout: 0.593 | time: 0.630s
18964 | train: 99.008% | test : 98.980% | LR: 0.00005263 | Dropout: 0.595 | time: 0.632s
18965 | train: 99.032% | test : 98.970% | LR: 0.00005336 | Dropout: 0.595 | time: 0.630s
18966 | train: 99.048% | test : 98.970% | LR: 0.00005336 | Dropout: 0.598 | time: 0.631s
18967 | train: 98.895% | test : 98.960% | LR: 0.00005408 | Dropout: 0.598 | time: 0.631s
18968 | train: 98.967% | test : 98.940% | LR: 0.00005554 | Dropout: 0.595 | time: 0.631s
18969 | train: 98.962% | test : 98.950% | LR: 0.00005481 | Dropout: 0.595 | time: 0.630s
18970 | train: 98.980% | test : 98.970% | LR: 0.00005336 | Dropout: 0.595 | time: 0.629s
18971 | train: 99.018% | test : 98.940% | LR: 0.00005554 | Dropout: 0.595 | time: 0.632s
18972 | train: 98.983% | test : 98.990% | LR: 0.00005191 | Dropout: 0.594 | time: 0.629s
18973 | train: 98.937% | test : 98.980% | LR: 0.00005263 | Dropout: 0.594 | time: 0.631s
18974 | train: 98.973% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.631s
18975 | train: 99.057% | test : 98.980% | LR: 0.00005263 | Dropout: 0.593 | time: 0.629s
18976 | train: 99.010% | test : 98.940% | LR: 0.00005554 | Dropout: 0.595 | time: 0.630s
18977 | train: 98.927% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.629s
18978 | train: 99.015% | test : 98.960% | LR: 0.00005408 | Dropout: 0.596 | time: 0.630s
18979 | train: 98.995% | test : 98.930% | LR: 0.00005628 | Dropout: 0.596 | time: 0.631s
18980 | train: 98.997% | test : 98.980% | LR: 0.00005263 | Dropout: 0.596 | time: 0.630s
18981 | train: 98.957% | test : 98.920% | LR: 0.00005702 | Dropout: 0.596 | time: 0.631s
18982 | train: 98.985% | test : 98.990% | LR: 0.00005191 | Dropout: 0.595 | time: 0.631s
18983 | train: 99.013% | test : 98.950% | LR: 0.00005481 | Dropout: 0.595 | time: 0.629s
18984 | train: 98.960% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.630s
